"No.","Time","Source","Destination","Protocol","Length","Info"
"175","33.635030900","10.101.1.28","172.64.41.3","QUIC","1292","Initial, DCID=8e0bb829152c9c37, PKN: 2, CRYPTO, PADDING, PING, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO"
"176","33.635172600","10.101.1.28","172.64.41.3","QUIC","122","0-RTT, DCID=8e0bb829152c9c37"
"177","33.635306100","10.101.1.28","172.64.41.3","QUIC","302","0-RTT, DCID=8e0bb829152c9c37"
"178","33.635363700","10.101.1.28","172.64.41.3","QUIC","302","0-RTT, DCID=8e0bb829152c9c37"
"179","33.672511200","157.240.5.12","10.101.1.28","TCP","60","443  >  49824 [ACK] Seq=1 Ack=33 Win=403 Len=0"
"180","33.672511200","157.240.5.12","10.101.1.28","TCP","60","443  >  51504 [ACK] Seq=1 Ack=33 Win=294 Len=0"
"181","33.672511200","157.240.5.11","10.101.1.28","TCP","60","443  >  50379 [ACK] Seq=1 Ack=1422 Win=5456 Len=0"
"182","33.672511200","157.240.5.11","10.101.1.28","TCP","60","443  >  55428 [ACK] Seq=1 Ack=30 Win=848 Len=0"
"183","33.672511200","157.240.5.11","10.101.1.28","TCP","60","443  >  50379 [ACK] Seq=1 Ack=4206 Win=5478 Len=0"
"184","33.672631000","10.101.1.28","157.240.5.11","TLSv1.2","1873","Application Data"
"185","33.685805200","172.64.41.3","10.101.1.28","QUIC","1242","Initial, SCID=0127859955c66c2d0925bd9870c64e5744c60a6a, PKN: 0, ACK"
"186","33.685805200","172.64.41.3","10.101.1.28","QUIC","1242","Initial, SCID=0127859955c66c2d0925bd9870c64e5744c60a6a, PKN: 1, ACK, CRYPTO"
"187","33.685805200","172.64.41.3","10.101.1.28","QUIC","1242","Protected Payload (KP0)"
"188","33.685805200","172.64.41.3","10.101.1.28","QUIC","66","Protected Payload (KP0)"
"189","33.685805200","172.64.41.3","10.101.1.28","QUIC","66","Protected Payload (KP0)"
"190","33.685805200","172.64.41.3","10.101.1.28","QUIC","91","Protected Payload (KP0)"
"191","33.685805200","172.64.41.3","10.101.1.28","QUIC","663","Protected Payload (KP0)"
"192","33.685805200","172.64.41.3","10.101.1.28","QUIC","627","Protected Payload (KP0)"
"193","33.688382900","10.101.1.28","172.64.41.3","QUIC","1292","Handshake, DCID=0127859955c66c2d0925bd9870c64e5744c60a6a"
"194","33.688722100","10.101.1.28","172.64.41.3","QUIC","127","Handshake, DCID=0127859955c66c2d0925bd9870c64e5744c60a6a"
"195","33.688956500","10.101.1.28","172.64.41.3","QUIC","85","Protected Payload (KP0), DCID=0127859955c66c2d0925bd9870c64e5744c60a6a"
"196","33.689201400","10.101.1.28","172.64.41.3","QUIC","89","Protected Payload (KP0), DCID=0127859955c66c2d0925bd9870c64e5744c60a6a"
"197","33.689459000","10.101.1.28","172.64.41.3","QUIC","85","Protected Payload (KP0), DCID=0127859955c66c2d0925bd9870c64e5744c60a6a"
"198","33.691157100","10.101.1.28","157.240.5.35","QUIC","1292","Initial, DCID=e7926e5b4cdedbc1, PKN: 1, CRYPTO, PADDING, PING, CRYPTO, PING, PADDING, PING, PING, CRYPTO, PING, CRYPTO, PING, CRYPTO, PING, PING, PING"
"199","33.691233100","10.101.1.28","157.240.5.35","QUIC","1292","Initial, DCID=e7926e5b4cdedbc1, PKN: 2, PING, PADDING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PING, CRYPTO, PING"
"200","33.692736200","10.101.1.28","157.240.5.35","QUIC","122","0-RTT, DCID=e7926e5b4cdedbc1"
"201","33.701581100","157.240.5.11","10.101.1.28","TLSv1.2","79","Application Data"
"202","33.711890600","157.240.5.11","10.101.1.28","TCP","66","[TCP Dup ACK 183#1] 443  >  50379 [ACK] Seq=26 Ack=4206 Win=5478 Len=0 SLE=5598 SRE=6025"
